,State,County,Population,People 1/2 Mile and More,People 1 Mile and More,People 10 Miles and More,People 20 Miles and More,Civilian labour force,Employed poulation,Unemployed population,Rate of Unemployment
1548,PA,Lehigh,349497,244018.3352,130996.3686,486.6822085,0,185778,175869,9909,5
1549,ID,Lemhi,7936,7300.810344,6147.540513,2011.147862,940.7240159,3376,3137,239,7
1550,MI,Lenawee,99892,88720.95644,70100.99317,10.43254189,0,47393,45018,2375,5
1551,NC,Lenoir,59495,45533.26089,35159.28093,0,0,27741,25980,1761,6
1552,FL,Leon,275487,228031.3224,129310.1775,1116.413269,0,147573,140142,7431,5
1553,TX,Leon,16801,14482.83593,12701.7094,3423.096288,0,6927,6558,369,5
1554,KY,Leslie,11310,10874.52647,10355.59882,423.4308004,0,2932,2612,320,11
1555,KY,Letcher,24519,22488.08154,19964.69601,0,0,6859,6092,767,11
1556,FL,Levy,40801,37700.80571,33829.44312,3954.456104,585.6218629,16448,15496,952,6
1557,ID,Lewis,3821,2927.861228,2493.282155,1852.740893,58.14928609,1590,1498,92,6
1558,KY,Lewis,13870,12719.96764,11183.65678,154.0618496,0,5054,4629,425,8
1559,MO,Lewis,10211,9930.587444,8326.315934,4239.897235,70.31102911,5214,4958,256,5
1560,NY,Lewis,27087,25245.20577,22686.67082,3658.431988,0,11834,11016,818,7
1561,TN,Lewis,12161,10719.74747,8707.688894,64.58262173,0,4796,4446,350,7
1562,WA,Lewis,75455,63292.75108,50074.86961,6610.520985,0.067663458,31232,28588,2644,9
1563,WV,Lewis,16372,13342.89119,11379.18166,638.9244467,0,6962,6387,575,8
1564,SC,Lexington,262391,227501.3589,159127.5216,38.15427293,0,145391,138363,7028,5
1565,VA,Lexington,7042,2019.218132,16.9023602,0,0,2252,2098,154,7
1566,FL,Liberty,8365,7941.784013,7233.951171,2170.924,2.592693707,2638,2483,155,6
1567,GA,Liberty,63453,57205.52873,41311.66334,385.6928256,0,24973,23396,1577,6
1568,MT,Liberty,2339,2116.256337,1495.555157,1178.959997,715.7319213,984,958,26,3
1569,TX,Liberty,75643,68161.17794,59453.90931,7069.04466,0,30920,28789,2131,7
1570,OH,Licking,166492,135484.8716,93943.90659,160.0386817,0,86932,83077,3855,4
1571,AL,Limestone,82782,76598.07567,66230.94231,551.3784895,0,39948,37757,2191,6
1572,TX,Limestone,23384,19592.50221,13599.49889,3557.117414,0,8572,8143,429,5
1573,AR,Lincoln,14134,14070.34448,13926.48054,4852.667875,0,4126,3873,253,6
1574,CO,Lincoln,5467,4016.953998,2849.018526,1253.472836,674.5456465,2169,2095,74,3
1575,GA,Lincoln,7996,7450.70974,6539.914903,446.8071073,0,3365,3138,227,7
1576,ID,Lincoln,5208,5207.999997,5207.999997,5074.030993,1244.048392,2639,2518,121,5
1577,KS,Lincoln,3241,2286.901636,1913.701543,1028.058137,4.37147365,1798,1736,62,3
1578,KY,Lincoln,24742,22685.33081,20161.64734,718.7242784,0,9011,8402,609,7
1579,LA,Lincoln,46735,41741.97622,33459.34468,978.0543387,0,21098,19621,1477,7
1580,ME,Lincoln,34457,32187.35793,28693.40354,1483.438243,0,16727,15983,744,4
1581,MN,Lincoln,5896,5895.999998,5895.999998,5686.605512,1720.784765,3392,3273,119,4
1582,MO,Lincoln,52566,50145.19361,45434.33465,2509.476361,0,26966,25572,1394,5
1583,MS,Lincoln,34869,31678.36983,26922.4015,4578.976326,0,14225,13363,862,6
1584,MT,Lincoln,19687,16318.45977,12924.40446,2619.576325,571.1081967,7795,7009,786,10
1585,NC,Lincoln,78265,72727.19767,62937.09752,0,0,40614,38408,2206,5
1586,NE,Lincoln,36288,28434.26732,15768.58047,3260.373376,1034.214658,18535,17998,537,3
1587,NM,Lincoln,20497,19158.82311,16684.0245,2901.43598,796.3988694,8655,8157,498,6
1588,NV,Lincoln,5345,5345.000008,5345.000008,5345.000008,5345.000008,1971,1852,119,6
1589,OK,Lincoln,34273,32041.9356,27628.75932,6449.882296,0,15877,15135,742,5
1590,OR,Lincoln,46034,31997.94365,24427.8959,1154.151715,0,20521,19157,1364,7
1591,SD,Lincoln,44828,38595.90933,30139.86682,32.80843931,0,30397,29712,685,2
1592,TN,Lincoln,33361,30607.47486,26788.89325,3864.740454,0,15117,14390,727,5
1593,WA,Lincoln,10570,9569.760948,8806.095534,7517.221317,1870.771488,4877,4590,287,6
1594,WI,Lincoln,28743,26213.92087,19024.59957,2350.434345,0,15270,14507,763,5
1595,WV,Lincoln,21720,19569.85641,17357.26582,0,0,7338,6622,716,10
1596,WY,Lincoln,18106,15540.47111,13030.15756,1914.536508,1134.47413,8431,8032,399,5
1597,IA,Linn,211226,169246.6434,94646.18929,1.29437542,0,120278,115690,4588,4
1598,KS,Linn,9656,8184.908337,7583.714463,3325.913762,0,4328,4051,277,6
1599,MO,Linn,12761,9905.861812,7037.658858,2211.701401,0,5244,4876,368,7
1600,OR,Linn,116672,95581.42231,66017.51639,2951.639199,2.682175077,55192,51482,3710,7
1601,TX,Lipscomb,3302,3302.000007,3302.000007,3301.985263,1599.897023,1723,1656,67,4
1602,CT,Litchfield,189927,152233.0066,108115.816,7.435047194,0,105607,100157,5450,5
1603,IL,Livingston,38950,30856.96544,21118.71968,1143.741678,0,17243,16315,928,5
1604,KY,Livingston,9519,8962.227907,8406.581337,134.7221561,0,3685,3420,265,7
1605,LA,Livingston,128026,116907.8237,94782.27242,899.7526471,0,68399,64895,3504,5
1606,MI,Livingston,180967,163522.8026,132154.8389,0,0,96400,91931,4469,5
1607,MO,Livingston,15195,12279.26334,7752.803296,851.4385824,0,7307,6996,311,4
1608,NY,Livingston,65393,56331.5737,45652.46148,0,0,31425,29776,1649,5
1609,TX,Llano,19301,17232.16354,14761.29083,1985.864672,0.480448116,8142,7797,345,4
1610,AR,Logan,22353,20821.97469,17769.77867,1617.700038,0,9162,8636,526,6
1611,CO,Logan,22709,16637.2674,11308.64383,3597.324837,380.0274447,10928,10595,333,3
1612,IL,Logan,30305,24957.38065,17182.3299,5103.532014,0,13008,12305,703,5
1613,KS,Logan,2756,1687.032853,745.0328888,502.559402,305.7606395,1756,1713,43,2
1614,KY,Logan,26835,21895.04691,18446.0251,328.4706075,0,11682,11132,550,5
1615,ND,Logan,1990,1990.000001,1990.000001,1907.0643,911.6036419,948,921,27,3
1616,NE,Logan,763,762.9999983,762.9999983,762.9999983,757.289347,492,478,14,3
1617,OH,Logan,45858,35659.116,25837.07967,79.10259844,0,23096,22124,972,4
1618,OK,Logan,41848,38404.71352,35037.83818,3754.231848,0,21473,20655,818,4
1619,WV,Logan,36743,34382.64189,28821.99572,7.123065093,0,11469,10181,1288,11
1620,GA,Long,14464,14464.00002,14464.00002,611.0384534,0,7086,6670,416,6
1621,AR,Lonoke,68356,61402.56821,48915.34125,947.0687909,0,33000,31618,1382,4
1622,OH,Lorain,301356,240321.9424,138135.879,0,0,149794,141416,8378,6
1623,TN,Loudon,48556,45087.17961,39911.46567,0,0,21899,20674,1225,6
1624,VA,Loudoun,312311,221023.1663,97838.4292,12.92429605,0,200054,192918,7136,4
1625,IA,Louisa,11387,9307.592953,7422.821625,137.0176494,0,6029,5799,230,4
1626,VA,Louisa,33153,32018.09338,30613.37219,778.8507077,0,18790,17993,797,4
1627,NE,Loup,632,632.0000016,632.0000016,506.3783431,131.1116134,379,365,14,4
1628,OK,Love,9423,8910.431513,7482.741432,2033.079702,0,5978,5765,213,4
1629,TX,Loving,82,81.99999951,81.99999951,81.99999951,72.92272693,77,73,4,5
1630,AL,Lowndes,11299,11266.28989,11241.54353,5502.701934,0,3827,3385,442,12
1631,GA,Lowndes,109233,95369.38668,58167.04947,82.12840953,0,50366,47392,2974,6
1632,MS,Lowndes,59779,48341.49956,37385.55674,200.8594261,0,25122,23358,1764,7
1633,TX,Lubbock,278831,218290.2284,104470.3013,495.871726,0,149461,144381,5080,3
1634,IA,Lucas,8898,8309.131024,6092.783027,742.1960016,0,4405,4248,157,4
1635,OH,Lucas,441815,302918.7984,107312.8514,0,0,208736,197666,11070,5
1636,MI,Luce,6631,3983.074963,3077.014379,773.2397365,77.95161477,2455,2284,171,7
1637,GA,Lumpkin,29966,28985.00063,26239.18427,38.58211837,0,15321,14494,827,5
1638,NM,Luna,25095,21824.14941,14825.12275,3298.803276,2013.464854,10993,9092,1901,17
1639,VA,Lunenburg,12914,12318.72074,10476.3198,4.557930466,0,5284,5014,270,5
1640,PA,Luzerne,320918,222488.9205,124920.4294,0.085687898,0,158764,148514,10250,7
1641,PA,Lycoming,116111,98234.62154,61625.56813,3830.662455,0,60904,57216,3688,6
1642,SD,Lyman,3755,3564.908452,3346.256663,2026.3744,1274.264267,1790,1706,84,5
1643,VA,Lynchburg,75568,57756.07248,22477.86892,0,0,35627,33633,1994,6
1644,TX,Lynn,5915,4230.302545,3257.128276,2004.333229,0,2760,2649,111,4
1645,IA,Lyon,11581,10177.73871,8985.98832,1865.014214,0,7068,6925,143,2
1646,KS,Lyon,33690,20360.08933,9690.453413,2789.991785,0,16637,15924,713,4
1647,KY,Lyon,8314,8113.732767,7555.856555,138.4104251,0,2955,2790,165,6
1648,MN,Lyon,25857,20730.37031,12626.89211,5585.282068,2.964564482,15286,14796,490,3
1649,NV,Lyon,51980,51090.14736,46109.27046,5923.522421,204.1225711,21895,19857,2038,9
1650,MI,Mackinac,11113,10038.92607,8347.329781,2692.199271,45.68043468,5113,4616,497,10
1651,MI,Macomb,840978,598478.4993,231182.5339,0,0,421322,397009,24313,6
1652,AL,Macon,21452,20173.82332,16708.0525,2228.230537,0,7967,7326,641,8
1653,GA,Macon,14740,13378.86714,11042.13131,87.36436195,0,4617,4193,424,9
1654,IL,Macon,110768,93991.52698,56604.80599,638.4983379,0,50527,46989,3538,7
1655,MO,Macon,15566,13194.5582,10583.7846,1095.594246,0,7473,7075,398,5
1656,NC,Macon,33922,31328.59994,27240.61363,799.4446665,0,15119,14187,932,6
1657,TN,Macon,22248,18611.45796,16111.76634,0,0,9945,9418,527,5
1658,IL,Macoupin,47765,36243.77004,25104.04241,1034.470041,0,23044,21587,1457,6
1659,CA,Madera,150865,115885.48,82037.60643,640.2751169,0,60021,53719,6302,11
1660,AL,Madison,334811,291077.6752,197625.5489,376.8854054,0,170889,161516,9373,6
1661,AR,Madison,15717,14513.34448,13438.62877,4103.6769,128.8873093,7082,6810,272,4
1662,FL,Madison,19224,17767.13002,15142.93892,3965.265094,0,7476,7016,460,6
1663,GA,Madison,28120,27624.96734,25632.6685,598.1879833,0,12626,11926,700,6
1664,IA,Madison,15679,11889.83502,9233.091256,2690.845266,0,8241,7916,325,4
1665,ID,Madison,37536,30691.01739,18580.3568,91.62132098,0,19755,19217,538,3
1666,IL,Madison,269282,215344.8571,136554.6682,7.72610154,0,132970,124983,7987,6
1667,IN,Madison,131636,103681.6611,66398.85457,0,0,58222,54917,3305,6
1668,KY,Madison,82916,69710.88151,44898.94236,12.27086163,0,44515,42571,1944,4
1669,LA,Madison,12093,8856.345686,4442.046278,424.4910219,0,3910,3546,364,9
1670,MO,Madison,12226,10992.12507,8026.210201,1476.065029,0,5521,5196,325,6
1671,MS,Madison,95203,83504.63183,55923.24367,3113.997198,0,51644,49283,2361,5
1672,MT,Madison,7691,7253.651043,6948.541681,2837.960161,263.7471062,4280,4125,155,4
1673,NC,Madison,20764,19318.25481,17788.99272,2069.850436,0,9470,8930,540,6
1674,NE,Madison,34876,24275.79757,16165.77693,2698.324659,0,19206,18680,526,3
1675,NY,Madison,73442,65506.50591,50055.69175,14.75371906,0,33077,31201,1876,6
1676,OH,Madison,43435,36163.15695,30072.34074,0,0,20496,19670,826,4
1677,TN,Madison,98294,82952.91021,53202.45921,1915.72529,0,46453,43722,2731,6
1678,TX,Madison,13664,11477.57228,9312.636865,3605.362736,0,5112,4893,219,4
1679,VA,Madison,13308,12824.5217,12307.07507,246.8463852,0,7224,6978,246,3
1680,KY,Magoffin,13333,12563.17745,11315.29019,106.7151347,0,3509,2985,524,15
1681,IA,Mahaska,22381,18082.6542,12588.60112,2879.338071,0,11844,11372,472,4
1682,MN,Mahnomen,5413,4318.049436,3955.449403,1904.716095,24.13523004,2405,2267,138,6
1683,OH,Mahoning,238823,187107.9821,105944.1305,0,0,106925,100417,6508,6
1684,OK,Major,7527,6543.325081,5300.040792,3326.9711,387.9385575,4298,4157,141,3
1685,OR,Malheur,31313,22382.35137,13180.59319,1811.7935,1153.664699,11956,11195,761,6
1686,VA,Manassas,37821,18072.71923,2314.029888,0,0,21593,20696,897,4
1687,VA,Manassas,37821,18072.71923,2314.029888,0,0,8333,7984,349,4
1688,FL,Manatee,322833,234907.3195,125048.4342,5226.149655,0,164899,156532,8367,5
1689,MI,Manistee,24733,19700.42108,16967.94368,52.36350483,0,10388,9697,691,7
1690,WI,Manitowoc,81442,64776.07772,43734.65186,4.087583899,0,41934,39828,2106,5
1691,WI,Marathon,134063,113685.8914,82951.31296,5503.922334,0,73511,70555,2956,4
1692,AL,Marengo,21027,16794.86772,12841.15753,5363.061745,0,7406,6839,567,8
1693,AZ,Maricopa,3817117,2479304.557,862842.5043,22979.37617,1493.506733,2013552,1910598,102954,5
1694,MO,Maries,9176,8148.285542,6990.640442,502.9680958,0,3938,3729,209,5
1695,CA,Marin,252409,137683.6,56326.77726,408.9601033,0,139512,134572,4940,4
1696,WI,Marinette,41749,36473.69822,26832.49008,4453.502881,0.657209108,20762,19558,1204,6
1697,AL,Marion,30776,27686.63941,22754.74193,397.6136499,0,12483,11615,868,7
1698,AR,Marion,16653,15139.42159,12869.89605,2255.376704,0,6524,6187,337,5
1699,FL,Marion,331298,295983.1254,218180.691,415.3528027,0,130198,121727,8471,7
1700,GA,Marion,8742,8742.000026,8742.000026,8092.881601,0,3445,3155,290,8
1701,IA,Marion,33309,27347.33484,18528.16384,2674.756567,0,17446,16871,575,3
1702,IL,Marion,39437,32987.7626,24001.08024,3979.789172,0,18088,16865,1223,7
1703,IN,Marion,903393,656264.2944,265314.539,0,0,472332,448369,23963,5
1704,KS,Marion,12660,10974.84199,8703.836541,2996.303322,0,6163,5930,233,4
1705,KY,Marion,19820,17165.00831,13205.55889,205.3106509,0,9211,8763,448,5
1706,MO,Marion,28781,20572.77524,10171.35951,1350.485687,0.134221837,14756,14099,657,5
1707,MS,Marion,27088,25727.40846,21237.31959,2833.17803,0,10008,9278,730,7
1708,OH,Marion,66501,58302.66441,42355.2027,2596.81637,0,27771,26351,1420,5
1709,OR,Marion,315335,220352.9631,93537.66066,269.4062684,0,152637,143478,9159,6
1710,SC,Marion,33062,28478.03861,20405.73402,25.11973179,0,12863,11581,1282,10
1711,TN,Marion,28237,26613.08744,22004.13886,0.523926366,0,11693,10905,788,7
1712,TX,Marion,10546,9691.050012,8712.384063,1154.448949,0,4410,4124,286,7
1713,WV,Marion,56418,47171.08088,31196.45924,4.212099992,0,25958,24174,1784,7
1714,CA,Mariposa,18251,17666.01591,16652.20289,3155.777443,1047.181238,8027,7454,573,7
1715,SC,Marlboro,28933,25963.79891,19528.64002,414.8343281,0,9647,8678,969,10
1716,MI,Marquette,67077,50800.53267,32936.88767,3670.432442,442.5854749,33323,31325,1998,6
1717,WI,Marquette,15404,13902.4526,12235.31556,255.7314701,0,7504,7044,460,6
1718,AL,Marshall,93019,82975.95211,65157.20263,0,0,40382,38049,2333,6
1719,IA,Marshall,40648,32564.74951,19092.69547,5335.943577,0,19452,18459,993,5
1720,IL,Marshall,12640,9784.789374,8275.618129,1624.527769,0,5708,5330,378,7
1721,IN,Marshall,47051,42155.31338,33390.74531,2213.159372,0,24009,23006,1003,4
1722,KS,Marshall,10117,7589.707372,5320.469834,1243.709909,0,5735,5568,167,3
1723,KY,Marshall,31448,28054.57531,24439.46005,617.7163052,0,14846,14017,829,6
1724,MN,Marshall,9439,8996.256048,7907.329959,6071.745779,944.1006375,5743,5348,395,7
1725,MS,Marshall,37144,33366.64896,30847.21289,5681.970353,0,14446,13403,1043,7
1726,OK,Marshall,15840,13893.14744,11169.19699,909.3372369,0,6783,6412,371,6
1727,SD,Marshall,4656,3556.525113,3309.468818,2346.719347,0,2498,2402,96,4
1728,TN,Marshall,30617,27217.45447,20086.91678,615.9456497,0,14741,13917,824,6
1729,WV,Marshall,33107,29771.47238,22856.86607,2426.963058,0,14018,12829,1189,9
1730,FL,Martin,146318,118619.2496,71534.62591,673.5503432,0,69503,65768,3735,5
1731,IN,Martin,10334,8423.995202,6559.426469,192.9247592,0,5047,4834,213,4
1732,KY,Martin,12929,12477.80885,11209.97795,38.60896944,0,3236,2927,309,10
1733,MN,Martin,20840,18472.3051,14388.7452,5506.939657,0,10447,10024,423,4
1734,NC,Martin,24505,22609.08542,19255.99378,91.93799898,0,9717,8971,746,8
1735,TX,Martin,4799,3286.681657,2228.512076,1011.318475,227.6383732,2581,2491,90,4
1736,VA,Martinsville,13821,11306.48244,3543.446997,0,0,5357,4886,471,9
1737,IL,Mason,14666,9943.564043,7300.716015,814.4426636,0,6607,6136,471,7
1738,KY,Mason,17490,14263.32116,11581.09122,211.92692,0,7447,6998,449,6
1739,MI,Mason,28705,23832.60683,19257.55214,172.4576879,0,14389,13510,879,6
1740,TX,Mason,4012,3317.109326,2101.41647,835.5360298,0.104468919,1802,1733,69,4
1741,WA,Mason,60699,55242.08793,48207.42911,914.9031395,0,23021,21208,1813,8
1742,WV,Mason,27324,25839.10168,23573.92747,1920.391935,0,9944,9095,849,9
1743,IL,Massac,15429,12386.39709,9474.984516,474.9957402,0,6107,5664,443,7
1744,TX,Matagorda,36702,30970.84413,21757.44369,5805.801761,5.63743844,17163,16007,1156,7
1745,AK,Matanuska-Susitna,88995,84930.70946,74161.32463,5902.229939,860.9906145,46260,42698,3562,8
1746,VA,Mathews,8978,8602.897189,8185.895356,0,0,4072,3901,171,4
1747,HI,Maui,154834,121839.2357,80854.19139,1961.027948,0,83930,80819,3111,4
1748,TN,Maury,80956,67871.53222,51410.35687,1761.26596,0,42288,40121,2167,5
1749,TX,Maverick,54258,43084.61829,25155.34067,950.9151696,21.36913301,23622,21109,2513,11
1750,OK,Mayes,41259,34339.70925,27030.24489,181.4321456,0,19402,18562,840,4
1751,OK,McClain,34506,32276.04922,28553.96221,1545.60223,0,18756,18058,698,4
1752,MT,McCone,1734,1734.000008,1733.909918,1596.989015,1413.162188,1060,1037,23,2
1753,SD,McCook,5618,5617.999993,5617.338859,4514.989303,0,3126,3051,75,2
1754,SC,McCormick,10233,9658.193055,8599.186016,636.0624459,0,3441,3197,244,7
1755,KY,McCracken,65565,55739.16044,32425.42207,10.57863816,0,28783,27137,1646,6
1756,KY,McCreary,18306,17570.41531,15823.88958,866.4058879,0,4835,4441,394,8
1757,TX,McCulloch,8283,5504.961888,3191.60301,1126.357272,155.5959232,3920,3732,188,5
1758,OK,McCurtain,33151,29124.62097,23214.76814,4653.236545,2123.172781,14740,13568,1172,8
1759,MO,McDonald,23083,21041.19983,18398.57558,1698.940809,0,10415,9921,494,5
1760,IL,McDonough,32612,27426.50024,17679.5081,1966.819139,0,14066,13210,856,6
1761,NC,McDowell,44996,40905.61341,34850.06066,573.052756,0,21260,20091,1169,6
1762,WV,McDowell,22113,19782.24583,18113.34399,753.7637323,0,5331,4650,681,13
1763,GA,McDuffie,21875,19784.52894,14660.76979,174.6200556,0,8786,8055,731,8
1764,IL,McHenry,308760,269614.0647,193606.1341,0,0,165957,156973,8984,5
1765,ND,McHenry,5395,5395.000001,5395.000001,5395.000001,2486.314221,3281,3143,138,4
1766,GA,McIntosh,14333,13473.98217,11300.74281,459.6240376,0,5820,5442,378,7
1767,ND,McIntosh,2809,1387.766792,1011.269603,558.9309544,27.32696896,1245,1206,39,3
1768,OK,McIntosh,20252,16918.46514,14898.66681,2583.392054,0,7085,6472,613,9
1769,PA,McKean,43450,32697.33671,23215.89741,171.8384195,0,18979,17825,1154,6
1770,ND,McKenzie,6360,5023.883203,4567.657422,2862.323584,453.2105069,9209,8980,229,3
1771,NM,McKinley,71492,64026.08409,56616.86565,31986.04447,12811.04334,24194,21833,2361,10
1772,IL,McLean,169572,136785.1688,81941.49266,2265.299016,0,90841,86482,4359,5
1773,KY,McLean,9531,8205.687057,7219.097959,2.874075834,0,4214,4006,208,5
1774,ND,McLean,8962,7687.718089,6234.553793,4944.006611,830.5610007,4925,4741,184,4
1775,TX,McLennan,234906,198115.6414,130966.0088,4371.282153,0,112473,107905,4568,4
1776,MN,McLeod,36651,29637.5955,21655.08266,1321.580329,0,20203,19411,792,4
1777,TN,McMinn,52266,48210.13195,40174.11548,0,0,22610,21181,1429,6
1778,TX,McMullen,707,706.9999968,706.9999968,692.8615667,454.9310717,968,948,20,2
1779,TN,McNairy,26075,25490.91747,23903.24905,649.4247864,0,8744,8002,742,9
1780,KS,McPherson,29180,22828.35983,15277.12327,3535.735058,0,17183,16670,513,3
1781,NE,McPherson,539,539.0000052,539.0000052,539.0000052,513.9721471,461,452,9,2
1782,SD,McPherson,2459,1701.761602,1562.48189,1370.012246,375.6326257,1111,1074,37,3
1783,KS,Meade,4575,3289.468971,2823.930488,2320.270793,8.274971517,2419,2347,72,3
1784,KY,Meade,28602,27824.39547,25932.23104,1132.123171,0,11795,11140,655,6
1785,SD,Meade,25434,20294.79956,12836.8471,1716.821048,1060.802956,13312,12890,422,3
1786,MT,Meagher,1891,1890.999996,1890.999996,1890.999996,1887.88699,935,901,34,4
1787,NC,Mecklenburg,919628,676012.5542,278001.6089,0,0,565288,534989,30299,5
1788,VA,Mecklenburg,32727,30227.76471,25232.75399,2056.876759,0,12514,11748,766,6
1789,MI,Mecosta,42798,41017.80626,35854.03118,1022.146908,0,19108,17932,1176,6
1790,OH,Medina,172332,145267.5122,107591.6793,0,0,94463,90539,3924,4
1791,TX,Medina,46006,42933.57014,36402.94128,1529.9597,21.81382636,20406,19515,891,4
1792,MN,Meeker,23300,20290.68989,17226.64184,2656.814809,0,13339,12782,557,4
1793,OH,Meigs,23770,23202.02318,20975.99397,2854.387091,0,9093,8345,748,8
1794,TN,Meigs,11753,11161.97617,10077.22005,95.08794762,0,4848,4479,369,8
1795,SD,Mellette,2048,2048.000003,2048.000003,2034.87634,703.7668542,796,755,41,5
1796,IL,Menard,12705,10366.31854,8097.447677,29.59495845,0,6738,6421,317,5
1797,TX,Menard,2242,1739.898236,1286.875144,454.7534602,13.02821279,856,812,44,5
1798,CA,Mendocino,87841,63035.50578,50079.36462,6270.131417,0,39930,37609,2321,6
1799,KY,Menifee,6306,6080.09486,5814.105846,0,0,2372,2169,203,9
1800,MI,Menominee,24029,20026.67209,14027.87178,799.0894275,0,11507,10887,620,5
1801,WI,Menominee,4232,4232.000002,4232.000002,1255.786095,0,1605,1450,155,10
1802,CA,Merced,255793,177112.5213,86280.52223,1600.60431,0,114340,101362,12978,11
1803,IL,Mercer,16434,15328.95768,14707.04663,1292.900619,0,8192,7679,513,6
1804,KY,Mercer,21331,19874.13686,16927.60899,22.34509524,0,9782,9295,487,5
1805,MO,Mercer,3785,2975.272198,2612.953156,484.3761392,0,1888,1804,84,4
1806,ND,Mercer,8424,5870.023751,3528.272485,1380.49698,102.2785553,4310,4129,181,4
1807,NJ,Mercer,366513,257531.1413,125048.8304,0,0,198447,188505,9942,5
1808,OH,Mercer,40814,31214.23619,22679.65166,1340.227963,0,23003,22250,753,3
1809,PA,Mercer,116638,100857.1137,72809.53591,0,0,52997,50107,2890,6
1810,WV,Mercer,62264,53636.73315,36989.63408,1181.893989,0,21914,20322,1592,7
1811,GA,Meriwether,21992,19670.25689,16203.37775,0,0,8672,7977,695,8
1812,NE,Merrick,7845,6643.32343,5218.622179,2468.487204,0,4026,3876,150,4
1813,NH,Merrimack,146445,131808.45,106319.9121,106.1366367,0,80956,78464,2492,3
1814,CO,Mesa,146723,112856.6698,68601.55033,4728.660514,16.76585918,71779,67806,3973,6
1815,KY,Metcalfe,10099,9823.115955,9390.126513,80.42306298,0,4009,3800,209,5
1816,IN,Miami,36903,33197.63469,25617.29602,2340.189773,0,15751,14931,820,5
1817,KS,Miami,32787,28091.16661,20630.86445,12.4264206,0,16757,16032,725,4
1818,OH,Miami,102506,82649.12644,48679.58394,0,0,52393,50091,2302,4
1819,FL,Miami-Dade,2496435,1154770.874,218653.9125,461.1209828,416.5275669,1317053,1239626,77427,6
1820,CT,Middlesex,165676,145292.6056,107573.6882,0,0,92262,87695,4567,5
1821,MA,Middlesex,1503085,1010562.595,469458.8695,0,0,863267,829429,33838,4
1822,NJ,Middlesex,809858,566581.7262,260169.7115,0,0,440742,418062,22680,5
1823,VA,Middlesex,10959,10187.6184,8891.654042,107.6020952,0,4980,4769,211,4
1824,MI,Midland,83629,75946.43594,58863.21982,148.107511,0,41360,39345,2015,5
1825,TX,Midland,136872,109416.2547,64070.39824,361.8171531,57.48749066,88310,85257,3053,4
1826,PA,Mifflin,46682,39877.51645,29293.03245,181.7273625,0,20913,19706,1207,6
1827,TX,Milam,24757,19889.15282,14493.44125,4876.552399,0,10112,9583,529,5
1828,UT,Millard,12503,9849.832707,8556.075494,5077.704284,630.015936,6138,5923,215,4
1829,AR,Miller,43462,37088.39006,24845.69227,5458.646133,0,19910,18916,994,5
1830,GA,Miller,6125,5073.677363,4519.280158,224.0023482,0,2671,2526,145,5
1831,MO,Miller,24748,21930.87666,18281.93018,727.6570851,0,11656,10954,702,6
1832,IA,Mills,15059,12193.06997,9601.624659,959.4036865,0,7430,7125,305,4
1833,TX,Mills,4936,3889.500165,2981.797078,1218.088622,0,1988,1915,73,4
1834,WI,Milwaukee,947735,545983.2723,129794.6076,0,0,477410,449974,27436,6
1835,SD,Miner,2389,2176.939998,1599.396749,439.6501547,0,1209,1180,29,2
1836,CO,Mineral,712,711.9999928,711.9999928,681.7340606,619.0435378,445,429,16,4
1837,MT,Mineral,4223,3665.043679,3426.382472,1971.443647,602.9138392,1725,1581,144,8
1838,NV,Mineral,4772,4337.79444,2263.201861,985.0148027,262.2070636,1617,1451,166,10
1839,WV,Mineral,28212,23504.85919,18985.36339,171.278998,0,11594,10742,852,7
1840,WV,Mingo,26839,25656.93725,21697.15119,0,0,7229,6278,951,13
1841,ID,Minidoka,20069,15051.47632,10975.11299,826.5792504,0,10677,10280,397,4
1842,SD,Minnehaha,169468,129597.821,66181.8648,1506.919139,0,106109,103238,2871,3
1843,MI,Missaukee,14849,14291.27388,13434.9655,1311.629403,0,6975,6518,457,7
1844,AR,Mississippi,46480,34494.58039,21472.8987,236.9513124,0,18370,16720,1650,9
1845,MO,Mississippi,14358,8766.769009,4580.063635,16.97986424,0,6285,5921,364,6
1846,MT,Missoula,109299,82968.38354,51927.92681,9689.917394,1370.814695,60422,58051,2371,4
1847,GA,Mitchell,23498,20059.55333,15298.51655,2068.929232,0,8717,8131,586,7
1848,IA,Mitchell,10776,8719.971406,7100.355711,2222.425261,0,5599,5440,159,3
1849,KS,Mitchell,6373,4820.390476,2951.359106,1213.596645,0,3775,3650,125,3
1850,NC,Mitchell,15579,14771.58834,13406.57343,862.1132289,0,6311,5879,432,7
1851,TX,Mitchell,9403,8206.247389,5921.87406,237.100881,13.01555953,2742,2588,154,6
1852,AL,Mobile,412992,327898.5846,204941.8812,1689.656833,0,186910,174057,12853,7
1853,CA,Modoc,9686,8189.260668,6617.838558,3453.508785,1183.490363,3305,3022,283,9
1854,CO,Moffat,13795,10167.12766,6189.48163,1232.079047,433.4073851,7104,6781,323,5
1855,AZ,Mohave,200186,176579.7428,133119.9114,18518.59677,5198.526704,79210,72935,6275,8
1856,MO,Moniteau,15607,13180.37605,9116.91279,738.6425837,0,7402,7039,363,5
1857,NJ,Monmouth,630380,475580.9414,273673.9969,0,0,329935,312901,17034,5
1858,CA,Mono,14202,12519.00498,8124.376154,5733.043274,2907.255328,8262,7757,505,6
